Front,Back,Type,Category
3D边界框表示,"B = (x, y, z, l, w, h, θ, φ, ψ)

(x,y,z): 中心坐标
(l,w,h): 长宽高
(θ,φ,ψ): 欧拉角(偏航/俯仰/翻滚)
8个自由度",公式卡,3D视觉
IoU 3D公式,"IoU_3D = |B₁ ∩ B₂| / |B₁ ∪ B₂|

计算: 两个3D框的交集体积 / 并集体积
范围: [0, 1]
用途: 3D检测评估
变体: GIoU, DIoU",公式卡,3D视觉
PointNet核心公式,"global_feat = max_pool({h_i})

h_i = MLP(point_i)
max_pool: 最大池化(置换不变)
point_i: 单点特征
输出: 全局点云特征",公式卡,3D视觉
3D人体姿态表示,"pose = (J_1, J_2, ..., J_K)

J_k = (x_k, y_k, z_k): 第k个关节坐标
K: 关节数(通常17-24)
自由度: 3K
归一化: 通常相对于根关节",公式卡,3D视觉
Point-based vs Voxel-based,"| 特性 | Point-based | Voxel-based |
|------|-------------|-------------|
| 输入表示 | 原始点 | 体素网格 |
| 内存效率 | 高 | 低(立方增长) |
| 细节保留 | 高 | 有损 |
| CNN适用性 | 需特殊设计 | 直接适用 |",对比卡,3D视觉
3D Tree Graph Cut vs MCGC,"| 特性 | Graph Cut | MCGC |
|------|-----------|------|
| 类别数 | 2类 | 多类 |
| 树木分离 | 单棵 | 多棵 |
| 复杂度 | 低 | 高 |
| 场景类型 | 简单 | 复杂森林 |",对比卡,3D视觉
3D检测 vs 2D检测,"| 特性 | 3D检测 | 2D检测 |
|------|--------|--------|
| 输出 | 3D框 | 2D框 |
| 遮挡处理 | 需推理 | 不可见 |
| 传感器 | LiDAR/RGB-D | 相机 |
| 计算量 | 大 | 小 |",对比卡,3D视觉
MOGO vs MotionDuet,"| 特性 | MOGO | MotionDuet |
|------|------|------------|
| 输入 | 文本 | 文本+参考 |
| 交互 | 单人 | 双人 |
| 生成质量 | 高 | 更高 |
| 交互建模 | 无 | 显式 |",对比卡,3D视觉
3D Tree Delineation Graph Cut,"Remote Sens. Environ. 2017
核心贡献: 图割方法进行3D树木描绘
方法: LiDAR点云 + 图割优化
创新: 单木分割算法
应用: 林业资源调查",论文卡,3D视觉
3D Tree Segmentation MCGC,"IEEE TGRS 2019
核心贡献: 多类图割进行森林分割
方法: MCGC扩展到3D点云
创新: 处理重叠树冠
效果: 分割精度提升10%",论文卡,3D视觉
3D Orientation Field Transform,"Pattern Anal. Appl. 2020
核心贡献: 3D方向场的数学变换
方法: 各向异性小波
创新: 扩展2D OFT到3D
应用: 3D纹理和曲面分析",论文卡,3D视觉
Detect Closer Surfaces 3D,"arXiv:2407.04061 (2024)
核心贡献: 检测可见最近表面
方法: 深度估计 + 遮挡推理
创新: 处理遮挡问题
应用: 自动驾驶感知",论文卡,3D视觉
Neural Varifolds Point Cloud,"arXiv:2407.04844 (2025)
核心贡献: 点云几何的神经表示
方法: 测度理论 + 神经网络
创新: 旋转不变的几何编码
应用: 点云分类、分割",论文卡,3D视觉
CornerPoint3D Detection,"arXiv:2504.02464 (2025)
核心贡献: 基于角点的3D检测
方法: 角点检测 + 框回归
创新: 更精确的边界框
效果: mAP提升2-3%",论文卡,3D视觉
Cross-Domain LiDAR Detection,"arXiv:2408.12708 (2024)
核心贡献: 跨域LiDAR目标检测
方法: 域适应 + 数据增强
创新: 处理不同LiDAR传感器
应用: 自动驾驶泛化",论文卡,3D视觉
MOGO 3D Motion Generation,"arXiv:2506.05952 (2025)
核心贡献: 文本到3D运动生成
方法: 扩散模型 + 运动先验
创新: 长序列一致性
应用: 动画、虚拟人",论文卡,3D视觉
GRASPTrack Multi-Object Tracking,"arXiv:2508.08117 (2025)
核心贡献: 多目标跟踪框架
方法: Transformer + 关联学习
创新: 端到端跟踪
应用: 视频分析",论文卡,3D视觉
3D Growth Trajectory Reconstruction,"arXiv:2511.02142 (2025)
核心贡献: 3D生长轨迹重建
方法: 时序点云 + 形变建模
创新: 生物生长建模
应用: 植物/动物发育",论文卡,3D视觉
MotionDuet 3D Motion,"arXiv:2511.18209 (2025)
核心贡献: 双人交互运动生成
方法: 条件扩散 + 交互建模
创新: 社交感知运动
应用: 动画、VR",论文卡,3D视觉
MRI重建,"MRI重建是从欠采样数据恢复完整图像。
问题: 加速采样导致混叠伪影
方法: 并行成像、压缩感知、深度学习
挑战: 保持诊断质量
目标: 减少扫描时间",概念卡,医学影像
医学图像分割,"医学图像分割是划分解剖结构或病灶。
任务: 器官分割、肿瘤分割、血管分割
模态: CT, MRI, 超声, X-ray
挑战: 边界模糊、类间相似
指标: Dice, IoU, Hausdorff距离",概念卡,医学影像
医学报告生成,"医学报告生成是自动生成影像诊断报告。
输入: 医学图像
输出: 结构化文本报告
方法: 编码器-解码器、Transformer
挑战: 准确性、专业性、一致性",概念卡,医学影像
脑肿瘤分割,"脑肿瘤分割是划分MRI中的肿瘤区域。
模态: T1, T1ce, T2, FLAIR
挑战: 边界不规则、异质性
数据集: BraTS
指标: Dice per region",概念卡,医学影像
血管分割,"血管分割是提取医学图像中的血管结构。
应用: 诊断、手术规划
方法: 框架小波、水平集、深度学习
挑战: 细小血管、分叉点
论文: Cai et al., 2011",概念卡,医学影像
Tight-Frame血管分割,"使用紧框架小波进行血管分割。
原理: 多尺度方向性分析
方法: 框架分解 + 阈值化 + 框架重构
论文: SIAM J. Imaging Sci. 2011
应用: MRA/CTA血管提取",方法卡,医学影像
IIHT医学报告生成,"IIHT是迭代交互的医学报告生成方法。
方法: 图像编码 + 迭代文本生成
创新: 人机交互式生成
论文: arXiv:2308.05633
应用: 放射科报告",方法卡,医学影像
Diffusion Brain MRI,"基于扩散模型的脑MRI处理方法。
应用: 重建、增强、合成
方法: 条件扩散 + 医学先验
论文: arXiv:2405.04974
创新: 差异性感知",方法卡,医学影像
Dice系数公式,"Dice = 2|A ∩ B| / (|A| + |B|)

A: 预测分割
B: 真实标注
范围: [0, 1], 1最佳
用途: 医学图像分割评估",公式卡,医学影像
Hausdorff距离公式,"H(A,B) = max(h(A,B), h(B,A))
h(A,B) = max_{a∈A} min_{b∈B} ||a-b||

A,B: 两个点集
含义: 最大最近邻距离
用途: 边界误差评估
变体: 95百分位Hausdorff",公式卡,医学影像
敏感性/特异性公式,"Sensitivity = TP / (TP + FN)
Specificity = TN / (TN + FP)

TP: 真阳性, TN: 真阴性
FP: 假阳性, FN: 假阴性
Sensitivity: 检出率
Specificity: 排除率",公式卡,医学影像
k空间采样公式,"k-space: K(k_x, k_y) = ∫∫ I(x,y) e^{-i2π(k_x x + k_y y)} dx dy

I(x,y): 图像空间
K(k_x,k_y): 频率空间(k空间)
关系: 互为傅里叶变换
欠采样: 加速成像",公式卡,医学影像
PSNR/SSIM公式,"PSNR = 10 log₁₀(MAX²/MSE)
SSIM = (2μ_xμ_y + C₁)(2σ_xy + C₂) / ((μ_x²+μ_y²+C₁)(σ_x²+σ_y²+C₂))

PSNR: 峰值信噪比(dB)
SSIM: 结构相似性[0,1]
用途: 图像质量评估
医学: MRI重建评估",公式卡,医学影像
传统方法 vs 深度学习分割,"| 特性 | 传统方法 | 深度学习 |
|------|----------|----------|
| 特征 | 手工设计 | 自动学习 |
| 数据需求 | 少 | 多 |
| 可解释性 | 高 | 低 |
| 精度 | 中 | 高 |",对比卡,医学影像
2D vs 3D医学分割,"| 特性 | 2D分割 | 3D分割 |
|------|--------|--------|
| 输入 | 单切片 | 完整体积 |
| 上下文 | 有限 | 丰富 |
| 计算量 | 小 | 大 |
| 连续性 | 差 | 好 |",对比卡,医学影像
监督 vs 弱监督分割,"| 特性 | 监督 | 弱监督 |
|------|------|--------|
| 标注类型 | 像素级 | 图像级/框/点 |
| 标注成本 | 高 | 低 |
| 性能上限 | 高 | 较低 |
| 可用数据 | 少 | 多 |",对比卡,医学影像
MRI vs CT,"| 特性 | MRI | CT |
|------|-----|-----|
| 成像原理 | 磁共振 | X射线 |
| 软组织对比 | 高 | 低 |
| 骨骼显示 | 差 | 好 |
| 扫描时间 | 长 | 短 |",对比卡,医学影像
Tight-Frame Vessel Segmentation,"SIAM J. Imaging Sci. 2011
核心贡献: 紧框架小波血管分割
方法: 框架分解+阈值化+重构
创新: 多尺度方向性分析
应用: MRA/CTA血管提取",论文卡,医学影像
Few-shot Medical Imaging Inference,"arXiv:2306.11152 (2023)
核心贡献: 医学影像小样本推理
方法: 元学习+不确定性估计
创新: 罕见病诊断
效果: 5-shot达到监督80%性能",论文卡,医学影像
Discrepancy-based Diffusion Brain MRI,"arXiv:2405.04974 (2024)
核心贡献: 扩散模型脑MRI处理
方法: 差异性感知扩散
创新: 域适应能力
应用: 脑肿瘤检测",论文卡,医学影像
IIHT Medical Report Generation,"arXiv:2308.05633 (2023)
核心贡献: 交互式医学报告生成
方法: 迭代人机交互
创新: 可编辑报告
应用: 放射科辅助",论文卡,医学影像
Semantic Segmentation by Proportions,"arXiv:2305.15608 (2023)
核心贡献: 语义比例弱监督分割
方法: 比例预测+特征图分割
创新: 仅需类别比例标注
效果: 接近全监督性能",论文卡,医学影像
Biopores Variational Segmentation,"土壤CT图像的生物孔隙变分分割。
应用: 土壤孔隙结构分析
方法: 变分模型+层自适应阈值
创新: 处理层间灰度变化
论文: Preprint 2016",论文卡,医学影像
Electron Tomography Thylakoid,"电子断层分析的类囊体组装研究。
应用: 生物结构成像
方法: 电子显微镜+重建
创新: 细胞器三维建模
论文: 2015",论文卡,医学影像
多智能体论文精读,"多智能体论文精读是从多角度分析论文的方法。
角色: 数学专家、算法猎手、落地工程师
维度: 理论、方法、实践
产出: 详细精读报告
应用: 学术研究",概念卡,研究综合
研究脉络分析,"研究脉络分析是追踪学术演进的方法。
维度: 时间演进、主题演变、方法迭代
工具: 引用网络、关键词演化
产出: 研究路线图
应用: 学术趋势预测",概念卡,研究综合
方法论总览,"SaT (Segmentation and Thresholding) 方法论总览。
核心: 分割 = 恢复 + 阈值化
扩展: SLaT (Smoothing-Lifting-Thresholding)
统一: PMS框架
论文: Handbook Chapter 2023",概念卡,研究综合
Xiaohao Cai研究方向,"Xiaohao Cai的核心研究方向。
1. 变分图像分割 (ROF, Mumford-Shah)
2. 医学影像分析 (MRI, 血管)
3. 3D视觉 (LiDAR, 点云)
4. 张量分解 (Tucker, TT)
5. 深度学习 (PEFT, 扩散模型)
6. 多模态学习 (Talk2Radar)",概念卡,研究综合
研究演进路径,"Xiaohao Cai研究的演进路径。
2011-2015: 变分分割方法
2016-2018: 遥感与射电天文
2019-2022: 3D视觉与深度学习
2023-2025: 张量分解与大模型
2026+: 多模态与可解释AI",概念卡,研究综合
知识图谱构建,"学术论文知识图谱的构建方法。
实体: 论文、作者、方法、领域
关系: 使用、引用、改进、应用于
工具: Neo4j、JSON-LD
应用: 学术知识管理",方法卡,研究综合
论文精读报告模板,"多智能体论文精读报告结构。
1. 论文基本信息
2. 数学Rigor专家分析
3. 算法猎手分析
4. 落地工程师分析
5. 综合评价与代码示例
字数: 约12000字/篇",方法卡,研究综合
研究复现卡片,"论文复现的关键信息卡片。
内容: 核心公式、超参数、数据集
代码: 关键实现片段
检查: 可复现性清单
应用: 论文实现",方法卡,研究综合
论文引用网络公式,"PageRank(p) = (1-d)/N + d Σ_{q→p} PageRank(q)/L(q)

d: 阻尼因子(~0.85)
N: 论文总数
L(q): 论文q的出度
应用: 发现重要论文",公式卡,研究综合
研究主题演化公式,"Topic(t+1) = α·Topic(t) + (1-α)·Innovation(t)

Topic(t): t时刻研究主题
Innovation: 新方法/新领域
α: 延续性系数
应用: 趋势预测",公式卡,研究综合
方法相似度公式,"Sim(M₁,M₂) = cos(θ) = (v₁·v₂)/(||v₁||·||v₂||)

v₁,v₂: 方法的特征向量
cos(θ): 余弦相似度
应用: 方法聚类
范围: [-1,1]",公式卡,研究综合
传统方法 vs 深度方法演进,"| 时期 | 主导方法 | 代表论文 |
|------|----------|----------|
| 2011-2015 | 变分方法 | ROF, SLaT |
| 2016-2019 | 混合方法 | 图割+CNN |
| 2020-2025 | 深度学习 | PEFT, 扩散 |
| 2026+ | 多模态 | Talk2Radar |",对比卡,研究综合
数学驱动 vs 数据驱动,"| 特性 | 数学驱动 | 数据驱动 |
|------|----------|----------|
| 理论保证 | 有 | 弱/无 |
| 可解释性 | 高 | 低 |
| 数据需求 | 低 | 高 |
| 泛化能力 | 好 | 依赖数据 |",对比卡,研究综合
学术研究 vs 工程应用,"| 特性 | 学术研究 | 工程应用 |
|------|----------|----------|
| 目标 | 创新性 | 可用性 |
| 评估 | SOTA指标 | 业务指标 |
| 代码 | 可运行即可 | 工程质量 |
| 速度 | 不关键 | 关键 |",对比卡,研究综合
单人研究 vs 团队协作,"| 特性 | 单人研究 | 团队协作 |
|------|----------|----------|
| 灵活性 | 高 | 中 |
| 研究深度 | 可深 | 广 |
| 产出速度 | 慢 | 快 |
| 跨学科 | 难 | 易 |",对比卡,研究综合
知识图谱构建实践,"基于D:\Documents\zx项目的实践。
工具: JSON-LL, Neo4j, OWL
实体: 58篇论文、8位合作者、24种方法
关系: 使用、引用、改进
产出: 完整知识图谱",论文卡,研究综合
多智能体精读报告,"项目中的精读报告集合。
数量: 20+篇
字数: 约60,000字
角色: 3个(数学/算法/工程)
深度: 约12000字/篇",论文卡,研究综合
研究路线图规划,"D:\Documents\zx的路线图规划。
短期(1-2年): tCURLoRA扩展、Varifolds-NeRF
中期(3-5年): 变分-DL统一框架
长期(5-10年): 数学驱动AGI组件
产出: RESEARCH_ROADMAP.md",论文卡,研究综合
论文复现检查清单,"论文复现的完整检查项。
□ 数据集获取
□ 超参数确认
□ 网络结构一致
□ 训练设置一致
□ 评估指标相同
□ 性能可复现",论文卡,研究综合
项目知识管理,"D:\Documents\zx项目的知识管理。
笔记: 70+份精读笔记
格式: Markdown、JSON、PDF
结构: 分类+标签+索引
检索: 全文搜索+知识图谱",论文卡,研究综合
Wavelet Segmentation on Sphere,"SIAM J. Imaging Sci. 2016
核心贡献: 球面上的小波分割方法
方法: 球面小波变换 + 阈值化
创新: 处理全景/球面图像
应用: 天文、全景视觉",论文卡,变分方法
3D Tree Delineation Graph Cut,"Remote Sens. Environ. 2017
核心贡献: 图割方法3D树木描绘
方法: LiDAR点云 + 图割优化
创新: 单木分割
应用: 林业调查",论文卡,3D视觉
Radio Interferometric Imaging I,"MNRAS 2017
核心贡献: 射电干涉成像的不确定性量化I
方法: 近端MCMC
创新: 贝叶斯后验采样
应用: SKA射电天文",论文卡,研究综合
Radio Interferometric Imaging II,"MNRAS 2017
核心贡献: 射电干涉成像的不确定性量化II
方法: MAP估计
创新: 大数据时代处理
应用: SKA射电天文",论文卡,研究综合
Online Radio Interferometric Imaging,"MNRAS 2017
核心贡献: 在线射电干涉成像
方法: 流式处理 + 近端算法
创新: 实时成像
应用: SKA实时处理",论文卡,研究综合
High-Dimensional Inverse Problems,"arXiv:1811.02514 (2018)
核心贡献: 高维逆问题求解
方法: 变分方法 + 低秩假设
创新: 高维正则化
应用: 医学成像、天文",论文卡,研究综合
Two-stage High-dimensional Classification,"M3AS 2019
核心贡献: 两阶段高维分类
方法: 降维 + 分类
创新: 两阶段优化
应用: 基因组学",论文卡,深度学习
Proximal Nested Sampling,"arXiv:2106.03646 (2021)
核心贡献: 近端嵌套采样
方法: 近端算子 + 嵌套采样
创新: 非高斯先验处理
应用: 贝叶斯推断",论文卡,研究综合
GO-LDA Generalised Optimal LDA,"arXiv:2305.14568 (2023)
核心贡献: 广义最优LDA
方法: 判别分析 + 优化
创新: 最优投影方向
应用: 分类降维",论文卡,深度学习
Bilevel Peer-Reviewing Problem,"arXiv:2307.12248 (2023)
核心贡献: 双层同行评审问题
方法: 双层优化
创新: 公平性建模
应用: 学术评审系统",论文卡,研究综合
Equalizing Protected Attributes,"arXiv:2311.14733 (2023)
核心贡献: 保护属性均衡化
方法: 公平机器学习
创新: 统计均等
应用: 公平性AI",论文卡,深度学习
CNNs RNNs Transformers HAR Survey,"arXiv:2407.06162 (2024)
核心贡献: HAR架构综述
内容: CNN/RNN/Transformer比较
创新: 系统性分析
应用: 人体活动识别",论文卡,深度学习
Talk2Radar Language-Radar Multimodal,"arXiv:2405.12821 (2025)
核心贡献: 语言-雷达多模态
方法: 语言模型 + 雷达信号
创新: 跨模态理解
应用: 自动驾驶感知",论文卡,深度学习
GAMED Multimodal Fake News,"arXiv:2412.12164 (2025)
核心贡献: 多模态虚假新闻检测
方法: 图注意力 + 多模态融合
创新: 图结构建模
应用: 社交媒体分析",论文卡,深度学习
Concept-Based XAI Metrics,"arXiv:2501.19271 (2025)
核心贡献: 概念级XAI指标
方法: 概念激活向量
创新: 可解释性量化
应用: 模型诊断",论文卡,深度学习
LL4G Graph-Based Personality Detection,"arXiv:2504.02146 (2025)
核心贡献: 图网络人格检测
方法: 图神经网络 + 文本
创新: 图结构人格建模
应用: 心理学AI",论文卡,深度学习
Less but Better PEFT Personality Detection,"arXiv:2504.05411 (2025)
核心贡献: 高效PEFT人格检测
方法: 选择性微调
创新: 更少参数更好效果
应用: 人格分析",论文卡,深度学习
EmoPerso Emotion-Aware Personality,"arXiv:2509.02450 (2025)
核心贡献: 情感感知人格检测
方法: 情感特征 + 人格预测
创新: 情感-人格关联
应用: 情感计算",论文卡,深度学习
HIPPD Brain-Inspired Personality Detection,"arXiv:2510.09893 (2025)
核心贡献: 脑启发人格检测
方法: 认知模型 + 深度学习
创新: 认知科学融合
应用: 心理学AI",论文卡,深度学习
CALM Culturally Self-Aware Language Models,"arXiv:2601.03483 (2026)
核心贡献: 文化自感知语言模型
方法: 文化嵌入 + 自感知机制
创新: 文化敏感性
应用: 跨文化NLP",论文卡,深度学习
LiDAR-Hyperspectral Registration,"IEEE TGRS 2014
核心贡献: LiDAR-高光谱配准
方法: 多模态特征匹配
创新: 异构数据融合
应用: 遥感影像分析",论文卡,3D视觉
Framelet Vessel Segmentation,"SSVM 2011
核心贡献: 框架小波血管分割
方法: 框架分解 + 区间细化
创新: 非变分方法
应用: MRA血管提取",论文卡,医学影像
Efficient Variational Classification,"Conference 2012
核心贡献: 高效变分分类
方法: 变分模型 + 分类器
创新: 联合优化
应用: 模式识别",论文卡,变分方法
Disparity Optical Flow Potts,"Journal 2015
核心贡献: 视差/光流Potts模型
方法: Potts能量 + 优化
创新: 联合估计
应用: 立体视觉",论文卡,3D视觉
Genes Shells AI Morphology,"Journal 2017
核心贡献: 基因-形态学AI分析
方法: 计算机视觉 + 形态测量
创新: 生物信息学融合
应用: 进化生物学",论文卡,研究综合
Limpets Computer Vision Identification,"Journal 2016
核心贡献: 贝类计算机视觉识别
方法: 图像分类 + 特征提取
创新: 物种自动识别
应用: 海洋生物学",论文卡,医学影像
NAS for SEI,"Conference 2020
核心贡献: 神经架构搜索SEI
方法: NAS + 信号识别
创新: 自动架构设计
应用: 通信信号识别",论文卡,深度学习